AFORE,Fecha,IRN ponderado,Ranking
Inbursa,ago-22,6.36,6
Invercap,ago-22,5.34,10
PensionISSSTE,ago-22,6.48,4
Principal,ago-22,6.49,3
Profuturo,ago-22,7.16,1
SURA,ago-22,6.77,2
XXI Banorte,ago-22,6.44,5
Azteca,sep-22,5.40,9
Citibanamex,sep-22,5.89,7
Coppel,sep-22,5.76,8
Inbursa,sep-22,6.23,3
Invercap,sep-22,5.08,10
PensionISSSTE,sep-22,6.23,4
Principal,sep-22,6.19,5
Profuturo,sep-22,6.86,1
SURA,sep-22,6.45,2
XXI Banorte,sep-22,6.14,6
Azteca,oct-22,5.04,9
Citibanamex,oct-22,5.47,7
Coppel,oct-22,5.43,8
Inbursa,oct-22,6.09,2
Invercap,oct-22,4.76,10
PensionISSSTE,oct-22,5.97,4
Principal,oct-22,5.84,5
Profuturo,oct-22,6.50,1
SURA,oct-22,6.07,3
XXI Banorte,oct-22,5.78,6
Azteca,nov-22,4.85,9
Citibanamex,nov-22,5.26,7
Coppel,nov-22,5.26,8
Inbursa,nov-22,6.02,2
Invercap,nov-22,4.59,10
PensionISSSTE,nov-22,5.82,4
Principal,nov-22,5.65,5
Profuturo,nov-22,6.30,1
SURA,nov-22,5.87,3
XXI Banorte,nov-22,5.59,6
Azteca,dic-22,4.74,9
Citibanamex,dic-22,5.17,8
Coppel,dic-22,5.17,7
Inbursa,dic-22,5.99,2
Invercap,dic-22,4.53,10
PensionISSSTE,dic-22,5.74,4
Principal,dic-22,5.56,5
Profuturo,dic-22,6.18,1
SURA,dic-22,5.78,3
XXI Banorte,dic-22,5.50,6
Azteca,ene-23,4.71,9
Citibanamex,ene-23,5.15,8
Coppel,ene-23,5.15,7
Inbursa,ene-23,6.00,2
Invercap,ene-23,4.54,10
PensionISSSTE,ene-23,5.72,4
Principal,ene-23,5.54,5
Profuturo,ene-23,6.16,1
SURA,ene-23,5.80,3
XXI Banorte,ene-23,5.50,6
Azteca,feb-23,4.62,9
Citibanamex,feb-23,5.03,8
Coppel,feb-23,5.09,7
Inbursa,feb-23,5.98,2
Invercap,feb-23,4.47,10
PensionISSSTE,feb-23,5.66,4
Principal,feb-23,5.45,5
Profuturo,feb-23,6.05,1
SURA,feb-23,5.70,3
XXI Banorte,feb-23,5.42,6
Azteca,mar-23,4.64,9
Citibanamex,mar-23,5.08,8
Coppel,mar-23,5.13,7
Inbursa,mar-23,6.00,2
Invercap,mar-23,4.51,10
PensionISSSTE,mar-23,5.66,4
Principal,mar-23,5.46,5
Profuturo,mar-23,6.06,1
SURA,mar-23,5.76,3
XXI Banorte,mar-23,5.46,6
Azteca,abr-23,4.81,9
Citibanamex,abr-23,5.28,8
Coppel,abr-23,5.28,7
Inbursa,abr-23,6.07,2
Invercap,abr-23,4.66,10
PensionISSSTE,abr-23,5.73,4
Principal,abr-23,5.58,6
Profuturo,abr-23,6.19,1
SURA,abr-23,5.97,3
XXI Banorte,abr-23,5.63,5
Azteca,may-23,4.89,9
Citibanamex,may-23,5.34,7
Coppel,may-23,5.30,8
Inbursa,may-23,6.07,2
Invercap,may-23,4.69,10
PensionISSSTE,may-23,5.71,4
Principal,may-23,5.59,6
Profuturo,may-23,6.20,1
SURA,may-23,6.04,3
XXI Banorte,may-23,5.68,5
Azteca,jun-23,4.91,9
Citibanamex,jun-23,5.35,7
Coppel,jun-23,5.28,8
Inbursa,jun-23,6.03,3
Invercap,jun-23,4.71,10
PensionISSSTE,jun-23,5.70,5
Principal,jun-23,5.59,6
Profuturo,jun-23,6.20,1
SURA,jun-23,6.04,2
XXI Banorte,jun-23,5.71,4
Azteca,jul-23,4.93,9
Citibanamex,jul-23,5.35,7
Coppel,jul-23,5.22,8
Inbursa,jul-23,5.97,3
Invercap,jul-23,4.72,10
PensionISSSTE,jul-23,5.68,5
Principal,jul-23,5.60,6
Profuturo,jul-23,6.20,1
SURA,jul-23,6.02,2
XXI Banorte,jul-23,5.71,4
Azteca,ago-23,4.91,9
Citibanamex,ago-23,5.28,7
Coppel,ago-23,5.14,8
Inbursa,ago-23,5.90,3
Invercap,ago-23,4.69,10
PensionISSSTE,ago-23,5.63,5
Principal,ago-23,5.55,6
Profuturo,ago-23,6.15,1
SURA,ago-23,5.96,2
XXI Banorte,ago-23,5.65,4
Azteca,sep-23,4.87,9
Citibanamex,sep-23,5.18,7
Coppel,sep-23,5.04,8
Inbursa,sep-23,5.85,2
Invercap,sep-23,4.65,10
PensionISSSTE,sep-23,5.58,4
Principal,sep-23,5.48,6
Profuturo,sep-23,6.07,1
SURA,sep-23,5.85,3
XXI Banorte,sep-23,5.57,5
Azteca,oct-23,4.77,9
Citibanamex,oct-23,4.97,7
Coppel,oct-23,4.89,8
Inbursa,oct-23,5.78,2
Invercap,oct-23,4.55,10
PensionISSSTE,oct-23,5.51,4
Principal,oct-23,5.34,6
Profuturo,oct-23,5.92,1
SURA,oct-23,5.65,3
XXI Banorte,oct-23,5.42,5
